Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,classic-tshirt-white,Camiseta Clásica Blanca,Básico esencial,"Camiseta de algodón 100% con corte clásico. Perfecta para cualquier ocasión, suave y cómoda.",published,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,200,,,,,,,Cotton,,,,,,TRUE,,,S,TSH-WHT-S,,FALSE,TRUE,,,,,,,,,15,18,Size,S,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a
,classic-tshirt-white,Camiseta Clásica Blanca,Básico esencial,"Camiseta de algodón 100% con corte clásico. Perfecta para cualquier ocasión, suave y cómoda.",published,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,200,,,,,,,Cotton,,,,,,TRUE,,,M,TSH-WHT-M,,FALSE,TRUE,,,,,,,,,15,18,Size,M,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a
,classic-tshirt-white,Camiseta Clásica Blanca,Básico esencial,"Camiseta de algodón 100% con corte clásico. Perfecta para cualquier ocasión, suave y cómoda.",published,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,200,,,,,,,Cotton,,,,,,TRUE,,,L,TSH-WHT-L,,FALSE,TRUE,,,,,,,,,15,18,Size,L,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a
,classic-tshirt-white,Camiseta Clásica Blanca,Básico esencial,"Camiseta de algodón 100% con corte clásico. Perfecta para cualquier ocasión, suave y cómoda.",published,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,200,,,,,,,Cotton,,,,,,TRUE,,,XL,TSH-WHT-XL,,FALSE,TRUE,,,,,,,,,15,18,Size,XL,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://images.unsplash.com/photo-1583743814966-8936f5b7be1aes.unsplash.com/photo-1583743814966-8936f5b7be1a
,graphic-tshirt-black,Camiseta Gráfica Negra,Diseño exclusivo,"Camiseta con diseño gráfico moderno. Fabricada en algodón premium con estampado de alta calidad.",published,https://images.unsplash.com/photo-1503341504253-dff4815485f1,200,,,,,,,Cotton,,,,,,TRUE,,,S,TSH-BLK-S,,FALSE,TRUE,,,,,,,,,19,22,Size,S,https://images.unsplash.com/photo-1503341504253-dff4815485f1,https://images.unsplash.com/photo-1618354691373-d851c5c3a990
,graphic-tshirt-black,Camiseta Gráfica Negra,Diseño exclusivo,"Camiseta con diseño gráfico moderno. Fabricada en algodón premium con estampado de alta calidad.",published,https://images.unsplash.com/photo-1503341504253-dff4815485f1,200,,,,,,,Cotton,,,,,,TRUE,,,M,TSH-BLK-M,,FALSE,TRUE,,,,,,,,,19,22,Size,M,https://images.unsplash.com/photo-1503341504253-dff4815485f1,https://images.unsplash.com/photo-1618354691373-d851c5c3a990
,graphic-tshirt-black,Camiseta Gráfica Negra,Diseño exclusivo,"Camiseta con diseño gráfico moderno. Fabricada en algodón premium con estampado de alta calidad.",published,https://images.unsplash.com/photo-1503341504253-dff4815485f1,200,,,,,,,Cotton,,,,,,TRUE,,,L,TSH-BLK-L,,FALSE,TRUE,,,,,,,,,19,22,Size,L,https://images.unsplash.com/photo-1503341504253-dff4815485f1,https://images.unsplash.com/photo-1618354691373-d851c5c3a990
,graphic-tshirt-black,Camiseta Gráfica Negra,Diseño exclusivo,"Camiseta con diseño gráfico moderno. Fabricada en algodón premium con estampado de alta calidad.",published,https://images.unsplash.com/photo-1503341504253-dff4815485f1,200,,,,,,,Cotton,,,,,,TRUE,,,XL,TSH-BLK-XL,,FALSE,TRUE,,,,,,,,,19,22,Size,XL,https://images.unsplash.com/photo-1503341504253-dff4815485f1,https://images.unsplash.com/photo-1618354691373-d851c5c3a990com/photo-1618354691373-d851c5c3a990
,oxford-shirt-blue,Camisa Oxford Azul,Elegancia casual,"Camisa Oxford de manga larga en azul claro. Perfecta para look casual o formal, fácil de planchar.",published,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,300,,,,,,,Cotton,,,,,,TRUE,,,S,SHT-OXF-S,,FALSE,TRUE,,,,,,,,,35,40,Size,S,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf
,oxford-shirt-blue,Camisa Oxford Azul,Elegancia casual,"Camisa Oxford de manga larga en azul claro. Perfecta para look casual o formal, fácil de planchar.",published,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,300,,,,,,,Cotton,,,,,,TRUE,,,M,SHT-OXF-M,,FALSE,TRUE,,,,,,,,,35,40,Size,M,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf
,oxford-shirt-blue,Camisa Oxford Azul,Elegancia casual,"Camisa Oxford de manga larga en azul claro. Perfecta para look casual o formal, fácil de planchar.",published,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,300,,,,,,,Cotton,,,,,,TRUE,,,L,SHT-OXF-L,,FALSE,TRUE,,,,,,,,,35,40,Size,L,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf
,oxford-shirt-blue,Camisa Oxford Azul,Elegancia casual,"Camisa Oxford de manga larga en azul claro. Perfecta para look casual o formal, fácil de planchar.",published,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,300,,,,,,,Cotton,,,,,,TRUE,,,XL,SHT-OXF-XL,,FALSE,TRUE,,,,,,,,,35,40,Size,XL,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccfages.unsplash.com/photo-1602810318383-e386cc2a3ccf
,linen-shirt-white,Camisa de Lino Blanca,Verano ligero,"Camisa de lino 100% blanca. Transpirable y fresca, ideal para días calurosos. Estilo relajado.",published,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,280,,,,,,,Linen,,,,,,TRUE,,,S,SHT-LIN-S,,FALSE,TRUE,,,,,,,,,42,48,Size,S,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,https://images.unsplash.com/photo-1603252109360-909baaf261c7
,linen-shirt-white,Camisa de Lino Blanca,Verano ligero,"Camisa de lino 100% blanca. Transpirable y fresca, ideal para días calurosos. Estilo relajado.",published,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,280,,,,,,,Linen,,,,,,TRUE,,,M,SHT-LIN-M,,FALSE,TRUE,,,,,,,,,42,48,Size,M,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,https://images.unsplash.com/photo-1603252109360-909baaf261c7
,linen-shirt-white,Camisa de Lino Blanca,Verano ligero,"Camisa de lino 100% blanca. Transpirable y fresca, ideal para días calurosos. Estilo relajado.",published,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,280,,,,,,,Linen,,,,,,TRUE,,,L,SHT-LIN-L,,FALSE,TRUE,,,,,,,,,42,48,Size,L,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,https://images.unsplash.com/photo-1603252109360-909baaf261c7
,linen-shirt-white,Camisa de Lino Blanca,Verano ligero,"Camisa de lino 100% blanca. Transpirable y fresca, ideal para días calurosos. Estilo relajado.",published,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,280,,,,,,,Linen,,,,,,TRUE,,,XL,SHT-LIN-XL,,FALSE,TRUE,,,,,,,,,42,48,Size,XL,https://images.unsplash.com/photo-1620012253295-c15cc3e65df4,https://images.unsplash.com/photo-1603252109360-909baaf261c7h.com/photo-1603252109360-909baaf261c7
,slim-fit-chino-navy,Pantalón Chino Slim Azul Marino,Fit moderno,"Pantalón chino de corte slim en azul marino. Versátil y elegante, perfecto para cualquier ocasión.",published,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,400,,,,,,,Cotton Blend,,,,,,TRUE,,,30,PNT-CHN-30,,FALSE,TRUE,,,,,,,,,45,52,Size,30,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80
,slim-fit-chino-navy,Pantalón Chino Slim Azul Marino,Fit moderno,"Pantalón chino de corte slim en azul marino. Versátil y elegante, perfecto para cualquier ocasión.",published,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,400,,,,,,,Cotton Blend,,,,,,TRUE,,,32,PNT-CHN-32,,FALSE,TRUE,,,,,,,,,45,52,Size,32,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80
,slim-fit-chino-navy,Pantalón Chino Slim Azul Marino,Fit moderno,"Pantalón chino de corte slim en azul marino. Versátil y elegante, perfecto para cualquier ocasión.",published,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,400,,,,,,,Cotton Blend,,,,,,TRUE,,,34,PNT-CHN-34,,FALSE,TRUE,,,,,,,,,45,52,Size,34,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80
,slim-fit-chino-navy,Pantalón Chino Slim Azul Marino,Fit moderno,"Pantalón chino de corte slim en azul marino. Versátil y elegante, perfecto para cualquier ocasión.",published,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,400,,,,,,,Cotton Blend,,,,,,TRUE,,,36,PNT-CHN-36,,FALSE,TRUE,,,,,,,,,45,52,Size,36,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80ages.unsplash.com/photo-1624378439575-d8705ad7ae80
,cargo-pants-khaki,Pantalón Cargo Caqui,Estilo urbano,"Pantalón cargo con múltiples bolsillos en color caqui. Cómodo y funcional para el día a día.",published,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,450,,,,,,,Cotton,,,,,,TRUE,,,30,PNT-CRG-30,,FALSE,TRUE,,,,,,,,,48,55,Size,30,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec
,cargo-pants-khaki,Pantalón Cargo Caqui,Estilo urbano,"Pantalón cargo con múltiples bolsillos en color caqui. Cómodo y funcional para el día a día.",published,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,450,,,,,,,Cotton,,,,,,TRUE,,,32,PNT-CRG-32,,FALSE,TRUE,,,,,,,,,48,55,Size,32,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec
,cargo-pants-khaki,Pantalón Cargo Caqui,Estilo urbano,"Pantalón cargo con múltiples bolsillos en color caqui. Cómodo y funcional para el día a día.",published,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,450,,,,,,,Cotton,,,,,,TRUE,,,34,PNT-CRG-34,,FALSE,TRUE,,,,,,,,,48,55,Size,34,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec
,cargo-pants-khaki,Pantalón Cargo Caqui,Estilo urbano,"Pantalón cargo con múltiples bolsillos en color caqui. Cómodo y funcional para el día a día.",published,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,450,,,,,,,Cotton,,,,,,TRUE,,,36,PNT-CRG-36,,FALSE,TRUE,,,,,,,,,48,55,Size,36,https://images.unsplash.com/photo-1624378515195-6bbdb73dff1a,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ecages.unsplash.com/photo-1584370848010-d7fe6bc767ec
,essential-hoodie-gray,Hoodie Esencial Gris,Comodidad diaria,"Sudadera con capucha en gris mezcla. Interior con felpa suave, perfecta para cualquier temporada.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,500,,,,,,,Cotton Blend,,,,,,TRUE,,,S,HOD-GRY-S,,FALSE,TRUE,,,,,,,,,42,48,Size,S,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633
,essential-hoodie-gray,Hoodie Esencial Gris,Comodidad diaria,"Sudadera con capucha en gris mezcla. Interior con felpa suave, perfecta para cualquier temporada.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,500,,,,,,,Cotton Blend,,,,,,TRUE,,,M,HOD-GRY-M,,FALSE,TRUE,,,,,,,,,42,48,Size,M,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633
,essential-hoodie-gray,Hoodie Esencial Gris,Comodidad diaria,"Sudadera con capucha en gris mezcla. Interior con felpa suave, perfecta para cualquier temporada.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,500,,,,,,,Cotton Blend,,,,,,TRUE,,,L,HOD-GRY-L,,FALSE,TRUE,,,,,,,,,42,48,Size,L,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633
,essential-hoodie-gray,Hoodie Esencial Gris,Comodidad diaria,"Sudadera con capucha en gris mezcla. Interior con felpa suave, perfecta para cualquier temporada.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,500,,,,,,,Cotton Blend,,,,,,TRUE,,,XL,HOD-GRY-XL,,FALSE,TRUE,,,,,,,,,42,48,Size,XL,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633plash.com/photo-1620799140408-edc6dcb6d633
,zip-hoodie-black,Hoodie con Zipper Negro,Estilo deportivo,"Sudadera negra con zipper completo y capucha. Bolsillos frontales y ajuste cómodo.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,520,,,,,,,Cotton Blend,,,,,,TRUE,,,S,HOD-ZIP-S,,FALSE,TRUE,,,,,,,,,48,55,Size,S,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1578587018452-892bacefd3f2
,zip-hoodie-black,Hoodie con Zipper Negro,Estilo deportivo,"Sudadera negra con zipper completo y capucha. Bolsillos frontales y ajuste cómodo.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,520,,,,,,,Cotton Blend,,,,,,TRUE,,,M,HOD-ZIP-M,,FALSE,TRUE,,,,,,,,,48,55,Size,M,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1578587018452-892bacefd3f2
,zip-hoodie-black,Hoodie con Zipper Negro,Estilo deportivo,"Sudadera negra con zipper completo y capucha. Bolsillos frontales y ajuste cómodo.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,520,,,,,,,Cotton Blend,,,,,,TRUE,,,L,HOD-ZIP-L,,FALSE,TRUE,,,,,,,,,48,55,Size,L,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1578587018452-892bacefd3f2
,zip-hoodie-black,Hoodie con Zipper Negro,Estilo deportivo,"Sudadera negra con zipper completo y capucha. Bolsillos frontales y ajuste cómodo.",published,https://images.unsplash.com/photo-1556821840-3a63f95609a7,520,,,,,,,Cotton Blend,,,,,,TRUE,,,XL,HOD-ZIP-XL,,FALSE,TRUE,,,,,,,,,48,55,Size,XL,https://images.unsplash.com/photo-1556821840-3a63f95609a7,https://images.unsplash.com/photo-1578587018452-892bacefd3f2m/photo-1578587018452-892bacefd3f2
,athletic-joggers-navy,Joggers Deportivos Azul Marino,Rendimiento activo,"Pantalón jogger deportivo con cintura elástica y cordón ajustable. Tejido técnico transpirable.",published,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,380,,,,,,,Polyester Blend,,,,,,TRUE,,,S,JOG-NAV-S,,FALSE,TRUE,,,,,,,,,38,44,Size,S,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,https://images.unsplash.com/photo-1600091166971-7f9faad6c1e2
,athletic-joggers-navy,Joggers Deportivos Azul Marino,Rendimiento activo,"Pantalón jogger deportivo con cintura elástica y cordón ajustable. Tejido técnico transpirable.",published,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,380,,,,,,,Polyester Blend,,,,,,TRUE,,,M,JOG-NAV-M,,FALSE,TRUE,,,,,,,,,38,44,Size,M,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,https://images.unsplash.com/photo-1600091166971-7f9faad6c1e2
,athletic-joggers-navy,Joggers Deportivos Azul Marino,Rendimiento activo,"Pantalón jogger deportivo con cintura elástica y cordón ajustable. Tejido técnico transpirable.",published,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,380,,,,,,,Polyester Blend,,,,,,TRUE,,,L,JOG-NAV-L,,FALSE,TRUE,,,,,,,,,38,44,Size,L,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,https://images.unsplash.com/photo-1600091166971-7f9faad6c1e2
,athletic-joggers-navy,Joggers Deportivos Azul Marino,Rendimiento activo,"Pantalón jogger deportivo con cintura elástica y cordón ajustable. Tejido técnico transpirable.",published,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,380,,,,,,,Polyester Blend,,,,,,TRUE,,,XL,JOG-NAV-XL,,FALSE,TRUE,,,,,,,,,38,44,Size,XL,https://images.unsplash.com/photo-1552902865-b72c031ac5ea,https://images.unsplash.com/photo-1600091166971-7f9faad6c1e2ash.com/photo-1600091166971-7f9faad6c1e2
,cotton-joggers-gray,Joggers de Algodón Gris,Casual confort,"Joggers de algodón suave en gris mezcla. Puños elásticos y bolsillos laterales. Uso diario.",published,https://images.unsplash.com/photo-1555274175-6cbf6f3b137b,360,,,,,,,Cotton,,,,,,TRUE,,,S,JOG-GRY-S,,FALSE,TRUE,,,,,,,,,35,40,Size,S,https://images.unsplash.com/photo-1555274175-6cbf6f3b137b,https://images.unsplash.com/photo-1603251578711-3290ca1a0187
,cotton-joggers-gray,Joggers de Algodón Gris,Casual confort,"Joggers de algodón suave en gris mezcla. Puños elásticos y bolsillos laterales. Uso diario.",published,https://images.unsplash.com/photo-1555274175-6cbf6f3b137b,360,,,,,,,Cotton,,,,,,TRUE,,,M,JOG-GRY-M,,FALSE,TRUE,,,,,,,,,35,40,Size,M,https://images.unsplash.com/photo-1555274175-6cbf6f3b137b,https://images.unsplash.com/photo-1603251578711-3290ca1a0187
,cotton-joggers-gray,Joggers de Algodón Gris,Casual confort,"Joggers de algodón suave en gris mezcla. Puños elásticos y bolsillos laterales. Uso diario.",published,https://images.unsplash.com/photo-1555274175-6cbf6f3b137b,360,,,,,,,Cotton,,,,,,TRUE,,,L,JOG-GRY-L,,FALSE,TRUE,,,,,,,,,35,40,Size,L,https://images.unsplash.com/photo-1555274175-6cbf6f3b137b,https://images.unsplash.com/photo-1603251578711-3290ca1a0187
